id,classification_id,annotation,workflow_id,user_id,subject_id,event_time,gravityspy_id,ifo,main_channel_name,event_generator,annotation_channel_names,hveto_round_number
144,421560990,"{0,1,2}",21793,386563,76085101,1262810060.6875,FnTUYS1pzZVBnuitS6M2,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-SRC2_Y_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",8
145,421561081,"{0,1,2}",21793,386563,76084547,1262803273.125,9yXdTR7yg8eyaJ9zosfv,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ}",3
146,421561046,"{0,1}",21793,386563,76085070,1262385863.9375,335MCf07DRQl4pefJd2a,L1,L1:GDS-CALIB_STRAIN,None,"{L1:ASC-X_TR_A_PIT_OUT_DQ,L1:ASC-X_TR_B_YAW_OUT_DQ}",2
147,421561053,{},21793,386563,76084875,1262798559.625,1WK9iIVlatgiUvYY8EYA,H1,H1:GDS-CALIB_STRAIN,None,{},5
148,436010552,{},21793,2409581,79008481,1262813589.4375,hJjNUFVj8h4mGUym1St9,H1,H1:GDS-CALIB_STRAIN,None,{},1
149,422495029,{},21793,2409581,76085129,1262365785.0625,OfSVQ8TiCUvicyEIeUaw,L1,L1:GDS-CALIB_STRAIN,None,{},3
150,422495050,"{0,1}",21793,2409581,76084833,1262798852.4375,6qRk9vBlq8ulaDvEm5h4,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",4
151,422495187,"{0,1}",21793,2409581,76084877,1262816278.3125,9jmaT2PaHl0BYcBSEZcE,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",5
152,423965411,"{0,1}",21793,2450285,76085226,1262369921.0625,1z5qE04WH3dKfAsFuOLt,L1,L1:GDS-CALIB_STRAIN,None,"{L1:PSL-ISS_PDB_REL_OUT_DQ,L1:LSC-REFL_A_LF_OUT_DQ}",6
153,424230283,"{0,1,2}",21793,1169509,76083604,1262814785.0625,AjH1ORLHMuX34N7P4Wlx,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
